propriedade	sessoes	tempo_sessao	paginas	paginas_unicas	entradas	paginas_sessao	usuarios_novos	usuarios_recorrentes	usuarios_totais	ano	mes
portal	14838	04:27	80068	48229	14837	5,4	9269	0	9281	2015	201512
portal	285	00:10	311	299	285	1,09	261	24	285	2016	201601
portal	69458	05:55	486289	373417	69458	7	47837	21477	69458	2016	201602
portal	95984	05:18	666845	504155	95984	6,95	63176	32669	95984	2016	201603
portal	95738	05:12	613194	458412	95737	6,4	61752	33841	95738	2016	201604
portal	102701	05:11	644968	486975	102701	6,28	63952	38615	102701	2016	201605
portal	105649	05:02	653863	490205	105648	6,19	64694	40812	105649	2016	201606
portal	96906	05:15	619928	472252	96906	6,4	57716	39046	96906	2016	201607
portal	109856	05:20	706655	532029	109856	6,43	57957	51782	109853	2016	201608
portal	131128	04:50	775434	586789	131128	5,91	73287	57680	131128	2016	201609
portal	152571	04:30	830307	632028	152571	5,44	85097	67319	152571	2016	201610
portal	132125	04:28	716323	538649	132125	5,42	80968	50980	132125	2016	201611
portal	125082	04:42	705360	537604	125080	5,64	75666	49211	125082	2016	201612
portal	144463	04:31	772955	597716	144462	5,35	88272	55979	144463	2017	201701
portal	124436	04:30	692427	533254	124435	5,56	74475	49785	124436	2017	201702
portal	136964	04:37	829235	628466	136964	6,05	80534	56281	136964	2017	201703
portal	110888	04:53	694484	530978	110888	6,26	64793	45951	110888	2017	201704
portal	126949	04:44	769802	594654	126946	6,06	73090	53697	126949	2017	201705
portal	118049	04:38	698289	536718	118042	5,92	68185	49724	118049	2017	201706
portal	121902	04:50	731702	560703	121897	6	69282	52469	121902	2017	201707
portal	146006	04:44	858536	654502	146006	5,88	83571	62265	146006	2017	201708
portal	135885	04:33	775590	593825	135884	5,71	78777	59945	138885	2017	201709
portal	151141	04:24	831708	643761	151139	5,5	87837	63142	151141	2017	201710
portal	144917	04:35	812540	623537	144917	5,61	82185	62553	144917	2017	201711
portal	139497	04:26	775232	588893	139497	5,56	78447	60882	139497	2017	201712
portal	163322	04:38	883739	677567	163322	5,41	94393	68683	163322	2018	201801
portal	149719	04:42	825361	638166	149718	5,51	88155	61336	149719	2018	201802
portal	148171	04:44	882423	666811	148169	5,96	83544	64429	148171	2018	201803
portal	130102	04:41	804929	616911	130102	6,19	73514	56423	130102	2018	201804
portal	133293	04:37	802894	616869	133292	6,02	76577	56562	133293	2018	201805
portal	141048	04:20	800665	616059	141047	5,68	81384	59511	141048	2018	201806
portal	160747	04:32	909454	697100	160747	5,66	92625	67930	160747	2018	201807
portal	165817	04:24	924544	697580	165816	5,58	96412	69220	165817	2018	201808
portal	136163	04:14	762738	581192	136163	5,6	78201	57827	136163	2018	201809
portal	145987	04:12	801457	613173	145987	5,49	84894	60926	145987	2018	201810
portal	117024	05:06	819903	617798	117024	7,01	63611	53255	117024	2018	201811
portal	105096	05:01	753755	569283	105096	7,17	55268	49674	105096	2018	201812
portal	135779	05:01	967810	732337	135779	7,13	73344	62251	135779	2019	201901
portal	120410	04:54	830655	628660	120410	6,9	64187	56091	120410	2019	201902
portal	122071	04:47	839955	616843	122070	6,88	66891	55052	122071	2019	201903
portal	131891	04:36	893008	661084	131891	6,77	72542	59197	131891	2019	201904
portal	143181	04:42	963576	712209	143181	6,73	77904	65143	143181	2019	201905
portal	123358	04:32	802695	600140	123358	6,51	67668	55549	123358	2019	201906
portal	134286	04:36	895532	662368	134286	6,67	71500	62649	134286	2019	201907
portal	141587	04:32	928103	695467	141587	6,56	76408	65031	141587	2019	201908
portal	144399	04:26	936900	703514	144398	6,49	79465	64795	144399	2019	201909
portal	153987	04:17	939629	714305	153986	6,1	85453	68396	153987	2019	201910
portal	152311	04:04	879522	669148	152311	5,77	86806	65359	152311	2019	201911
portal	145018	04:08	854842	653239	145014	5,89	82861	62000	145018	2019	201912
portal	144287	04:20	908573	690825	144285	6,3	81837	62299	144287	2020	202001
portal	143623	04:26	962546	706227	143623	6,7	81814	61676	143623	2020	202002
portal	136605	04:19	922009	695290	136604	6,75	75875	60567	136605	2020	202003
portal	120835	04:26	834345	618231	120834	6,9	69719	57709	137306	2020	202004
portal	137306	04:27	898722	673786	137305	6,55	79411	27032	105980	2020	202005
portal	142688	04:09	892980	667739	142688	6,26	83846	27666	111495	2020	202006
portal	136170	04:20	895263	667818	136169	6,57	76560	27496	105107	2020	202007
portal	131913	04:35	866075	652966	131912	6,57	72345	26565	98885	2020	202008
portal	130463	04:23	803718	617885	130463	6,16	74141	26361	100937	2020	202009
portal	136176	04:12	813311	625050	136176	5,97	78903	27754	107544	2020	202010
portal	140039	04:07	813592	621597	140039	5,81	82972	28299	111327	2020	202011
